Identifier;Name;Cancer.Type
753539;CADO-ES1;
949158;ES1;
684055;ES3;
949156;ES4;
684057;ES5;
684059;ES7;
949155;ES8;
949163;EW-1;
684062;EW-11;
949162;EW-12;
949166;EW-13;
949165;EW-16;
949164;EW-18;
949167;EW-22;
949168;EW-24;
949161;EW-3;
949160;EW-7;
684072;SK-ES-1;
909731;SK-PN-DW;
1240221;TC-71;
906827;CAL-72;
1290807;G-292 Clone A141B1;
907060;HOS;
909977;HuO-3N1;
907072;HuO9;
908131;MG-63;
925345;NOS-1;
910849;NY;
909707;Saos-2;
909776;U-2-OS;
910704;AU565;BRCA
906801;BT-20;BRCA
946359;BT-474;BRCA
949093;BT-483;BRCA
905951;BT-549;BRCA
906826;CAL-120;BRCA
924106;CAL-148;BRCA
910927;CAL-51;BRCA
910852;CAL-85-1;BRCA
946382;CAMA-1;BRCA
906812;COLO-824;BRCA
906844;DU-4475;BRCA
906851;EFM-19;BRCA
1290798;EFM-192A;BRCA
906862;EVSA-T;BRCA
749710;HCC1143;BRCA
749711;HCC1187;BRCA
749712;HCC1395;BRCA
907045;HCC1419;BRCA
1290905;HCC1428;BRCA
1303900;HCC1500;BRCA
907046;HCC1569;BRCA
749713;HCC1599;BRCA
907047;HCC1806;
749714;HCC1937;BRCA
749709;HCC1954;BRCA
1290906;HCC202;BRCA
749715;HCC2157;BRCA
749716;HCC2218;BRCA
749717;HCC38;BRCA
907048;HCC70;BRCA
1290922;HDQ-P1;BRCA
905957;Hs-578-T;BRCA
905946;MCF7;BRCA
925338;MDA-MB-157;BRCA
905960;MDA-MB-231;BRCA
1330941;MDA-MB-330;BRCA
908121;MDA-MB-361;BRCA
924240;MDA-MB-415;BRCA
1240172;MDA-MB-436;BRCA
908122;MDA-MB-453;BRCA
908123;MDA-MB-468;BRCA
910948;MFM-223;BRCA
908151;MRK-nu-1;BRCA
909256;OCUB-M;BRCA
905945;T47D;BRCA
910910;UACC-812;BRCA
909778;UACC-893;BRCA
909907;ZR-75-30;BRCA
906853;EGI-1;
906861;ETK-1;
907069;HuCCT1;
909769;TGBC1TKB;
910695;TGBC24TKB;
907073;HUTU-80;
910700;C2BBe1;COAD/READ
924108;CaR-1;COAD/READ
1240123;CCK-81;COAD/READ
1290769;CL-11;COAD/READ
1240124;CL-40;COAD/READ
905961;COLO-205;COAD/READ
910569;COLO-320-HSR;COAD/READ
910689;COLO-678;COAD/READ
910554;CW-2;COAD/READ
907291;GP5d;COAD/READ
905971;HCC2998;COAD/READ
1290907;HCC-56;COAD/READ
905936;HCT-116;COAD/READ
905937;HCT-15;COAD/READ
907289;HT-115;COAD/READ
905939;HT-29;COAD/READ
907287;HT55;COAD/READ
905989;KM12;COAD/READ
907790;LoVo;COAD/READ
917486;LS-1034;COAD/READ
907792;LS-123;COAD/READ
998189;LS-180;COAD/READ
907794;LS-411N;COAD/READ
907795;LS-513;COAD/READ
1240173;MDST8;COAD/READ
908482;NCI-H630;COAD/READ
908458;NCI-H716;COAD/READ
908457;NCI-H747;COAD/READ
909263;RCM-1;COAD/READ
909698;RKO;COAD/READ
909718;SK-CO-1;COAD/READ
1659823;SNU-1040;COAD/READ
1659928;SNU-175;COAD/READ
1660034;SNU-407;COAD/READ
1660035;SNU-61;COAD/READ
1660036;SNU-81;COAD/READ
910905;SNU-C1;COAD/READ
909740;SNU-C2B;COAD/READ
1674021;SNU-C5;COAD/READ
909746;SW1116;COAD/READ
909747;SW1417;COAD/READ
909748;SW1463;COAD/READ
909751;SW48;COAD/READ
909755;SW837;COAD/READ
909757;SW948;COAD/READ
909761;T84;COAD/READ
910850;C3A;LIHC
1240147;Hep 3B2_1-7;LIHC
907057;HLE;LIHC
1298146;huH-1;LIHC
907071;HuH-7;LIHC
1298151;JHH-1;LIHC
1240159;JHH-6;LIHC
1240160;JHH-7;LIHC
909719;SK-HEP-1;LIHC
1240216;SNU-182;LIHC
909736;SNU-387;LIHC
1240217;SNU-398;LIHC
909737;SNU-423;LIHC
909738;SNU-449;LIHC
909739;SNU-475;LIHC
910924;23132-87;STAD
906790;AGS;STAD
906848;ECC10;
906849;ECC12;
1290806;FU97;STAD
906869;GCIY;STAD
907041;GT3TKB;STAD
907055;HGC-27;STAD
1240151;Hs746T;STAD
1322224;HSC-39;STAD
1240155;IM-95;STAD
907276;KATOIII;STAD
908138;MKN1;
908139;MKN28;STAD
925340;MKN45;STAD
924250;MKN7;STAD
908461;NCI-N87;STAD
908444;NCI-SNU-1;STAD
908446;NCI-SNU-16;STAD
908445;NCI-SNU-5;STAD
908455;NUGC-3;STAD
1298357;NUGC-4;STAD
1298358;OCUM-1;STAD
1240209;RERF-GC-1B;STAD
909697;RF-48;STAD
909711;SCH;
1503364;SK-GT-2;STAD
909770;TGBC11TKB;STAD
909744;SW13;ACC
910922;769-P;KIRC
905947;786-0;KIRC
905948;A498;KIRC
910920;A704;KIRC
905950;ACHN;KIRC
753533;BB65-RCC;KIRC
910698;BFTC-909;KIRC
905963;CAKI-1;KIRC
910952;CAL-54;KIRC
907299;G-401;
753558;HA7-RCC;KIRC
1298168;KMRC-1;KIRC
1298169;KMRC-20;KIRC
753577;LB1047-RCC;KIRC
753578;LB2241-RCC;KIRC
753585;LB996-RCC;KIRC
1509073;NCC010;KIRC
1509074;NCC021;KIRC
909250;OS-RC-2;KIRC
909974;RCC10RGB;KIRC
1524418;RCC-AB;KIRC
1524417;RCC-ER;KIRC
1524414;RCC-FG2;KIRC
1524416;RCC-JW;KIRC
1524419;RCC-MF;KIRC
905978;RXF393;KIRC
905979;SN12C;KIRC
905980;TK10;KIRC
905981;U031;KIRC
909781;VMRC-RCZ;KIRC
1287381;201T;LUAD
905949;A549;LUAD
906791;ABC-1;LUAD
687777;Calu-3;LUAD
724859;Calu-6;LUAD
906805;COR-L105;LUAD
905970;EKVX;LUAD
1503369;EMC-BAC-1;LUAD
1503370;EMC-BAC-2;LUAD
1247873;H3255;LUAD
1240145;HCC-44;LUAD
1290908;HCC-78;LUAD
1240146;HCC-827;LUAD
907786;LC-2-ad;LUAD
753592;LXF-289;LUAD
724866;NCI-H1355;LUAD
684681;NCI-H1395;LUAD
1298347;NCI-H1435;LUAD
753600;NCI-H1563;LUAD
1298348;NCI-H1568;LUAD
908472;NCI-H1573;LUAD
687798;NCI-H1623;LUAD
687799;NCI-H1648;LUAD
687800;NCI-H1650;LUAD
910900;NCI-H1651;LUAD
908473;NCI-H1666;LUAD
687802;NCI-H1693;LUAD
908474;NCI-H1703;
722058;NCI-H1734;LUAD
908475;NCI-H1755;LUAD
1298350;NCI-H1781;LUAD
724868;NCI-H1792;LUAD
908463;NCI-H1793;LUAD
687807;NCI-H1838;LUAD
1240185;NCI-H1944;LUAD
924244;NCI-H1975;LUAD
908476;NCI-H1993;LUAD
724873;NCI-H2009;LUAD
1240187;NCI-H2023;LUAD
722045;NCI-H2030;LUAD
687812;NCI-H2085;LUAD
724834;NCI-H2087;LUAD
722046;NCI-H2122;LUAD
687816;NCI-H2228;LUAD
724874;NCI-H2291;LUAD
905942;NCI-H23;LUAD
687819;NCI-H2342;LUAD
687820;NCI-H2347;LUAD
687821;NCI-H2405;LUAD
753604;NCI-H292;
1240190;NCI-H3122;LUAD
905967;NCI-H322M;LUAD
908465;NCI-H358;LUAD
908460;NCI-H441;LUAD
905944;NCI-H522;LUAD
908459;NCI-H596;
722066;NCI-H650;LUAD
910399;NCI-H838;LUAD
753608;PC-14;LUAD
1298537;RERF-LC-KJ;LUAD
910931;RERF-LC-MS;LUAD
909721;SK-LU-1;LUAD
724878;SW1573;LUAD
687600;NCI-H720;
724855;NCI-H727;
753607;NCI-H835;
909779;UMC-11;
687780;COR-L23;
905973;HOP-92;
910779;IA-LM;
753586;LCLC-103H;
946361;LCLC-97TM1;
